Cooler Name,Site Name,Door,Light Intensity,Temperature (°C),Smart Tag Serial Number,Event Date,
QA-Cooler1-5April,Dev Site,Double,5,6.67,0008-0549,10/17/2019 3:29:11 PM,
QA-Cooler1-5April,Dev Site,Double,0,3.94,0008-80573,10/17/2019 3:23:49 PM,
QA-Cooler1-5April,Dev Site,Double,5,5.75,0008-0549,10/17/2019 2:59:11 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.8,0008-80573,10/17/2019 2:53:49 PM,
QA-Cooler1-5April,Dev Site,Double,5,5.92,0008-0549,10/17/2019 2:29:11 PM,
QA-Cooler1-5April,Dev Site,Double,0,3.43,0008-80573,10/17/2019 2:23:49 PM,
QA-Cooler1-5April,Dev Site,Double,5,6.63,0008-0549,10/17/2019 1:59:12 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.03,0008-80573,10/17/2019 1:53:49 PM,
QA-Cooler1-5April,Dev Site,Double,5,5.31,0008-0549,10/17/2019 1:29:11 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.31,0008-80573,10/17/2019 1:23:49 PM,
QA-Cooler1-5April,Dev Site,Double,4,6.35,0008-0549,10/17/2019 12:59:11 PM,
QA-Cooler1-5April,Dev Site,Double,0,3.51,0008-80573,10/17/2019 12:53:50 PM,
QA-Cooler1-5April,Dev Site,Double,5,6.09,0008-0549,10/17/2019 12:29:12 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.81,0008-80573,10/17/2019 12:23:50 PM,
QA-Cooler1-5April,Dev Site,Double,5,5.92,0008-0549,10/17/2019 11:59:12 AM,
QA-Cooler1-5April,Dev Site,Double,0,3.35,0008-80573,10/17/2019 11:53:50 AM,
QA-Cooler1-5April,Dev Site,Double,4,6.64,0008-0549,10/17/2019 11:29:12 AM,
QA-Cooler1-5April,Dev Site,Double,0,4.21,0008-80573,10/17/2019 11:23:50 AM,
QA-Cooler1-5April,Dev Site,Double,5,5.54,0008-0549,10/17/2019 10:59:12 AM,
QA-Cooler1-5April,Dev Site,Double,0,4.59,0008-80573,10/17/2019 10:53:50 AM,
QA-Cooler1-5April,Dev Site,Double,5,5.93,0008-0549,10/17/2019 10:29:12 AM,
QA-Cooler1-5April,Dev Site,Double,0,3.57,0008-80573,10/17/2019 10:23:50 AM,
QA-Cooler1-5April,Dev Site,Double,4,6.52,0008-0549,10/17/2019 9:59:12 AM,
QA-Cooler1-5April,Dev Site,Double,0,3.79,0008-80573,10/17/2019 9:53:50 AM,
