Cooler Name,Site Name,Door,Light Intensity,Temperature (°C),Smart Tag Serial Number,Event Date,
QA-Cooler3-5April,Dev Site,Single,9,3.47,0008-80152,10/16/2019 11:50:56 PM,
QA-Cooler3-5April,Dev Site,Single,10,4.1,0008-80152,10/16/2019 11:20:57 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.58,0008-80152,10/16/2019 10:50:56 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.44,0008-80152,10/16/2019 10:20:57 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.36,0008-80152,10/16/2019 9:50:57 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.89,0008-80152,10/16/2019 9:20:57 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.46,0008-80152,10/16/2019 8:50:57 PM,
QA-Cooler3-5April,Dev Site,Single,10,4.09,0008-80152,10/16/2019 8:20:58 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.5,0008-80152,10/16/2019 7:50:57 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.35,0008-80152,10/16/2019 7:20:57 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.4,0008-80152,10/16/2019 6:50:58 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.23,0008-80152,10/16/2019 6:20:58 PM,
QA-Cooler3-5April,Dev Site,Single,9,4.01,0008-80152,10/16/2019 5:50:58 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.76,0008-80152,10/16/2019 5:20:58 PM,
QA-Cooler3-5April,Dev Site,Single,9,2.95,0008-80152,10/16/2019 4:50:58 PM,
QA-Cooler3-5April,Dev Site,Single,11,2.17,0008-80152,10/16/2019 4:20:58 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.56,0008-80152,10/16/2019 3:50:59 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.18,0008-80152,10/16/2019 3:20:59 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.03,0008-80152,10/16/2019 2:50:58 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.61,0008-80152,10/16/2019 2:20:59 PM,
QA-Cooler3-5April,Dev Site,Single,10,4.07,0008-80152,10/16/2019 1:50:59 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.95,0008-80152,10/16/2019 1:20:59 PM,
QA-Cooler3-5April,Dev Site,Single,9,2.22,0008-80152,10/16/2019 12:51:00 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.42,0008-80152,10/16/2019 12:20:59 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.88,0008-80152,10/16/2019 11:50:59 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.21,0008-80152,10/16/2019 11:20:59 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.61,0008-80152,10/16/2019 10:51:00 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.76,0008-80152,10/16/2019 10:21:00 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.95,0008-80152,10/16/2019 9:51:00 AM,
QA-Cooler3-5April,Dev Site,Single,11,4.01,0008-80152,10/16/2019 9:21:00 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.77,0008-80152,10/16/2019 8:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.64,0008-80152,10/16/2019 8:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.65,0008-80152,10/16/2019 7:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,10,3.62,0008-80152,10/16/2019 7:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.33,0008-80152,10/16/2019 6:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.88,0008-80152,10/16/2019 6:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,10,2.58,0008-80152,10/16/2019 5:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.33,0008-80152,10/16/2019 5:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.33,0008-80152,10/16/2019 4:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,10,2.3,0008-80152,10/16/2019 4:21:02 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.35,0008-80152,10/16/2019 3:51:02 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.24,0008-80152,10/16/2019 3:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.35,0008-80152,10/16/2019 2:51:02 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.33,0008-80152,10/16/2019 2:21:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.64,0008-80152,10/16/2019 1:51:01 AM,
QA-Cooler3-5April,Dev Site,Single,11,2.85,0008-80152,10/16/2019 1:21:02 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.14,0008-80152,10/16/2019 12:51:02 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.46,0008-80152,10/16/2019 12:21:02 AM,
QA-Cooler3-5April,Dev Site,Single,11,3.8,0008-80152,10/15/2019 11:51:03 PM,
QA-Cooler3-5April,Dev Site,Single,11,4.07,0008-80152,10/15/2019 11:21:03 PM,
QA-Cooler3-5April,Dev Site,Single,11,3.86,0008-80152,10/15/2019 10:51:03 PM,
QA-Cooler3-5April,Dev Site,Single,10,4.04,0008-80152,10/15/2019 10:21:03 PM,
QA-Cooler3-5April,Dev Site,Single,11,3.75,0008-80152,10/15/2019 9:51:02 PM,
QA-Cooler3-5April,Dev Site,Single,11,3.32,0008-80152,10/15/2019 9:21:03 PM,
QA-Cooler3-5April,Dev Site,Single,11,2.78,0008-80152,10/15/2019 8:51:03 PM,
QA-Cooler3-5April,Dev Site,Single,11,2.22,0008-80152,10/15/2019 8:21:03 PM,
QA-Cooler3-5April,Dev Site,Single,11,2.37,0008-80152,10/15/2019 7:51:03 PM,
QA-Cooler3-5April,Dev Site,Single,11,2.72,0008-80152,10/15/2019 7:21:03 PM,
QA-Cooler3-5April,Dev Site,Single,11,3.03,0008-80152,10/15/2019 6:51:04 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.46,0008-80152,10/15/2019 6:21:04 PM,
QA-Cooler3-5April,Dev Site,Single,11,3.75,0008-80152,10/15/2019 5:51:04 PM,
QA-Cooler3-5April,Dev Site,Single,11,4.01,0008-80152,10/15/2019 5:21:04 PM,
QA-Cooler3-5April,Dev Site,Single,11,3.99,0008-80152,10/15/2019 4:51:04 PM,
QA-Cooler3-5April,Dev Site,Single,11,3.43,0008-80152,10/15/2019 4:21:04 PM,
QA-Cooler3-5April,Dev Site,Single,10,3.03,0008-80152,10/15/2019 3:51:04 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.58,0008-80152,10/15/2019 3:21:05 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.48,0008-80152,10/15/2019 2:51:05 PM,
QA-Cooler3-5April,Dev Site,Single,11,2.27,0008-80152,10/15/2019 2:21:04 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.27,0008-80152,10/15/2019 1:51:05 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.37,0008-80152,10/15/2019 1:21:05 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.52,0008-80152,10/15/2019 12:51:05 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.66,0008-80152,10/15/2019 12:21:06 PM,
QA-Cooler3-5April,Dev Site,Single,10,2.88,0008-80152,10/15/2019 11:51:05 AM,
QA-Cooler3-5April,Dev Site,Single,10,3.35,0008-80152,10/15/2019 11:21:05 AM,
QA-Cooler3-5April,Dev Site,Single,10,3.49,0008-80152,10/15/2019 10:51:06 AM,
QA-Cooler3-5April,Dev Site,Single,10,3.85,0008-80152,10/15/2019 10:21:06 AM,
QA-Cooler3-5April,Dev Site,Single,10,4.01,0008-80152,10/15/2019 9:51:06 AM,
QA-Cooler3-5April,Dev Site,Single,10,4.09,0008-80152,10/15/2019 9:21:06 AM,
QA-Cooler3-5April,Dev Site,Single,10,4.02,0008-80152,10/15/2019 8:51:06 AM,
QA-Cooler3-5April,Dev Site,Single,9,4.1,0008-80152,10/15/2019 8:21:06 AM,
QA-Cooler3-5April,Dev Site,Single,10,3.85,0008-80152,10/15/2019 7:51:07 AM,
QA-Cooler3-5April,Dev Site,Single,9,3.31,0008-80152,10/15/2019 7:21:07 AM,
QA-Cooler3-5April,Dev Site,Single,9,2.62,0008-80152,10/15/2019 6:51:07 AM,
QA-Cooler3-5April,Dev Site,Single,10,2.29,0008-80152,10/15/2019 6:21:07 AM,
QA-Cooler3-5April,Dev Site,Single,10,2.33,0008-80152,10/15/2019 5:51:07 AM,
QA-Cooler3-5April,Dev Site,Single,9,2.62,0008-80152,10/15/2019 5:21:07 AM,
QA-Cooler3-5April,Dev Site,Single,10,3,0008-80152,10/15/2019 4:51:07 AM,
QA-Cooler3-5April,Dev Site,Single,9,3.54,0008-80152,10/15/2019 4:21:07 AM,
QA-Cooler3-5April,Dev Site,Single,9,3.9,0008-80152,10/15/2019 3:51:07 AM,
QA-Cooler3-5April,Dev Site,Single,9,3.96,0008-80152,10/15/2019 3:21:07 AM,
QA-Cooler3-5April,Dev Site,Single,10,4.02,0008-80152,10/15/2019 2:51:08 AM,
QA-Cooler3-5April,Dev Site,Single,9,3.88,0008-80152,10/15/2019 2:21:08 AM,
QA-Cooler3-5April,Dev Site,Single,10,3.98,0008-80152,10/15/2019 1:51:08 AM,
QA-Cooler3-5April,Dev Site,Single,9,3.75,0008-80152,10/15/2019 1:21:08 AM,
QA-Cooler3-5April,Dev Site,Single,10,2.98,0008-80152,10/15/2019 12:51:08 AM,
QA-Cooler3-5April,Dev Site,Single,10,2.24,0008-80152,10/15/2019 12:21:08 AM,
